participant_id,room,body,control,action,expected,observed,other_mechanic,clarity_1_to_5,notes
P01,,,,,,,,,
P01,,,,,,,,,
P01,,,,,,,,,
P02,,,,,,,,,
P02,,,,,,,,,
P02,,,,,,,,,
P03,,,,,,,,,
P03,,,,,,,,,
P03,,,,,,,,,
